Dnr,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2017-01375,9,,9,11,13
2017-01392,12,,7,12,13
2017-01394,7,,7,11,13
2017-01408,13,,6,13,
2017-01413,6,,6,,
2017-01417,7,,7,9,13
2017-01422,11,,11,,
2017-01424,14,,3,13,14
2017-01438,2,,3,12,
2017-01443,15,,13,15,
2017-01449,7,,10,11,13
2017-01463,15,,12,15,
2017-01467,12,,3,9,12
2017-01474,15,13,13,,
2017-01489,15,,12,,
2017-01492,2,12,1,2,3
2017-01504,6,14,6,11,13
2017-01508,11,,3,11,16
2017-01511,3,12,3,12,
2017-01513,14,,6,13,14
2017-01532,12,,3,6,12
2017-01546,7,11,10,11,13
2017-01551,2,15,2,12,15
2017-01565,15,,15,,
2017-01577,15,,3,15,
2017-01593,15,,3,12,15
2017-01596,2,,2,,
2017-01597,3,,3,15,
2017-01599,12,,12,13,17
2017-01604,12,2,9,12,
2017-01610,14,15,12,14,15
2017-01613,12,7,7,12,13
2017-01631,16,15,8,15,17
2017-01638,15,,13,17,
2017-01668,11,,9,11,
2017-01718,13,,11,13,
2017-01719,13,,11,13,
2017-01736,15,,13,,
2017-01737,13,14,12,13,14
2017-01738,15,13,6,13,
2017-01739,13,,3,13,
2017-01740,13,,13,14,15
2017-01741,13,,13,14,
2017-01742,13,,2,3,13
2017-01743,13,,7,11,13
2017-01747,15,13,,,
2017-01748,15,13,,,
2017-01749,2,13,,,
2017-01750,2,13,,,
2017-01751,15,13,,,
2017-01752,2,13,,,
2017-01753,2,13,,,
2017-01757,7,13,7,9,13
2017-01758,7,13,7,13,15
2017-01772,12,,9,11,13
2017-01773,11,,7,11,
2017-01781,2,,3,12,15
2017-01788,12,,12,13,17
2017-01790,15,,12,15,
2017-01792,11,,10,11,
2017-01795,4,13,13,,
2017-01802,4,13,13,16,17
2017-01850,2,,12,,
2017-01851,2,,12,15,
2017-01854,2,,2,12,15
2017-01856,2,,3,12,15
2017-01860,2,,8,12,13
2017-01864,2,,12,15,
2017-01867,2,,12,,
2017-01871,12,,9,11,12
2017-01877,13,,3,12,13
2017-01889,13,,11,13,17
2017-01895,13,15,7,13,15
2017-01896,3,13,2,3,13
2017-01898,13,,11,16,
2017-01905,13,,13,,
2017-01919,13,,11,13,16
2017-01923,13,,9,12,13
2017-01924,13,,11,13,
2017-01941,16,7,13,16,17
2017-01943,11,,11,12,13
2017-01944,13,,13,,
2017-01949,14,13,12,13,14
2017-01952,15,13,13,15,
2017-01956,13,,9,11,13
2017-01960,13,16,3,11,13
