Dnr,Agenda_2030
2019-05517,3
2020-00016,3
2020-00022,3
2020-00197,3
2020-01065,3
2020-01527,3
2020-01660,3
2020-01808,3
2020-02218,3
2020-02374,3
2016-04810,3
2017-00416,3
2017-02850,3
2017-02963,3
2018-00622,3
2018-02918,3
2018-03654,3
2018-03868,3
2018-01067,3
2018-01257,3
2018-01316,3
2018-01419,3
2018-02068,3
2018-02455,3
2018-02457,3
2018-03456,3
2018-03683,3
2018-05203,3
2019-01361,3
2019-02530,3
2019-02835,3
2019-02836,3
2019-02944,3
2019-03566,3
2019-00590,3
2019-00797,3
2019-00900,3
2019-00998,3
2019-01096,3
2019-01598,3
2019-03282,3
2019-05422,3
2020-00234,3
2020-01151,3
2020-01367,3
2020-01873,3
2020-03289,3
2020-00222,3
2016-04210,3
2016-04735,3
2016-04994,3
2016-05176,3
2016-05415,3
2017-02909,3
2017-00594,3
2017-01576,3
2017-01948,3
2017-02137,3
2017-02211,3
2017-02357,3
2017-02456,3
2017-02481,3
2017-02851,3
2017-02963,3
2017-03752,3
2017-03886,3
2017-04173,3
2017-04227,3
2017-05519,3
2018-00593,3
2018-00675,3
2018-00698,3
2018-00763,3
2018-01281,3
2018-01283,3
2018-01692,3
2018-01776,3
2018-01777,3
2018-02229,3
2018-02298,3
2018-02390,3
2018-02512,3
2018-02601,3
2018-02660,3
2018-02698,3
2018-02758,3
2018-02960,3
2018-03001,3
2018-03100,3
2018-03208,3
2018-03235,3
2018-03526,3
2018-03655,3
2018-03880,3
2018-03890,3
2018-03905,3
2018-03990,3
2018-04049,3
2018-04141,3
2018-04159,3
2018-04488,3
2018-04510,3
2018-04513,3
2018-04650,3
2018-04905,3
2017-05397,3
2018-00184,3
2018-00254,3
2018-00305,3
2018-00333,3
2018-00394,3
2018-00421,3
2018-00525,3
2018-00540,3
2018-00610,3
2018-00625,3
2018-00664,3
2018-00711,3
2018-00788,3
2018-01056,3
2018-01058,3
2018-01067,3
2018-01117,3
2018-01191,3
2018-01214,3
2018-01226,3
2018-01239,3
2018-01240,3
2018-01246,3
2018-01256,3
2018-01307,3
2018-01321,3
2018-01331,3
2018-01339,3
2018-01387,3
2018-01405,3
2018-01418,3
2018-01442,3
2018-01487,3
2018-01500,3
2018-01646,3
2018-01671,3
2018-01678,3
2018-01690,3
2018-01789,3
2018-01805,3
2018-01915,3
2018-02084,3
2018-02094,3
2018-02118,3
2018-02169,3
2018-02179,3
2018-02350,3
2018-02415,3
2018-02420,3
2018-02422,3
